,Unnamed: 0,backers,creater_link,end_date,funded,language,max_price,min_price,num_comments,num_contributions,num_news,number_rewards,percentage_fund,pro_link,short_des,status,subcategory,target,thumbnail_type,title
84,84,39,https://www.kisskissbankbank.com/en/users/labeteaplumes,08/08/2017,"€3,590",fr,750.0,2.0,10.0,39.0,2.0,15.0,111.0,https://www.kisskissbankbank.com/en/projects/vos-desirs-sont-desordres-cirque-d-objets-poetique-et-musical,"Cirque d'objets musical, drôle et poétique. Un spectacle pour toute la famille.
Envie de découvrir notre univers alors....SOUTENEZ-NOUS!",Successful,,"Out of €3,230",jpeg,Vos Désirs sont DésOrdres - Cirque d'objets poétique et musical.
85,85,61,https://www.kisskissbankbank.com/en/users/saka--3,08/07/2017,"€5,318",fr,2000.0,10.0,21.0,61.0,4.0,11.0,106.0,https://www.kisskissbankbank.com/en/projects/saka-rhum-arrange-d-exception,"Les frères Gongora & le Camion Brousse vous proposent de contribuer au lancement de SAKA, rhum arrangé d'exception au Mafane ou à la Vanille ! 
",Successful,,"Out of €5,000",png,SAKA  Rhum Arrangé d'exception
86,86,38,https://www.kisskissbankbank.com/en/users/palette-de-the,08/07/2017,"€3,215",fr,50.0,5.0,12.0,38.0,8.0,5.0,107.0,https://www.kisskissbankbank.com/en/projects/palette-de-the,"Palette de Thé
L’ouverture d’un Salon de Thé, lieu de convivialité, d'échanges et de partage dans un univers cosy.
",Successful,,"Out of €3,000",JPG,Palette de thé
87,87,86,https://www.kisskissbankbank.com/en/users/charlotte--30,08/08/2017,"€5,030",fr,1000.0,5.0,12.0,86.0,1.0,9.0,100.0,https://www.kisskissbankbank.com/en/projects/la-grange-de-limandre--3,"Participez à transformer la grange de Limandre en un lieu dédié à la création artistique !
Aidez-nous à fertiliser ce jardin des possibles !!",Successful,,"Out of €5,000",png,La Grange de Limandre
88,88,137,https://www.kisskissbankbank.com/en/users/renaud-pelissier--2,08/06/2017,"€20,240",en,859.0,10.0,50.0,137.0,26.0,7.0,202.0,https://www.kisskissbankbank.com/en/projects/pup-le-mini-scanner-connecte-le-plus-rapide-du-monde,"Scan made fast and easy : books, pictures, maps, drawings... you are going to love it",Successful,,"Out of €10,000",png,"PUP, votre scanner de poche connecté"
89,89,94,https://www.kisskissbankbank.com/en/users/nearly-famous-projet-de-rockumentaire,08/06/2017,"€3,585",fr,1000.0,5.0,18.0,94.0,0.0,9.0,102.0,https://www.kisskissbankbank.com/en/projects/nearly-famous-projet-de-film-rockumentaire,"Je cherchais mon Grand-père, j'ai trouvé un rockeur !
Rejoignez l'aventure ""Nearly Famous"" et financez le lancement de ce Rockumentaire ! ",Successful,,"Out of €3,500",gif,Nearly Famous - Projet de film Rockumentaire
90,90,61,https://www.kisskissbankbank.com/en/users/le-banquet-celeste,08/06/2017,"€3,080",de,300.0,10.0,10.0,61.0,6.0,7.0,102.0,https://www.kisskissbankbank.com/en/projects/affetti-amorosi-prochain-enregistrement-dedie-a-g-frescobaldi,LE  BANQUET CELESTE A BESOIN DE VOUS POUR EN PARTICIPER AU FINANCEMENT DU PROCHAIN ENREGISTREMENT QUE DAMIEN GUILLON  CONSACRE A G. FRESCOBALDI !,Successful,,"Out of €3,000",png,NOUVEAU DISQUE DU BANQUET CÉLESTE (DIR. DAMIEN GUILLON)
91,91,53,https://www.kisskissbankbank.com/en/users/cyril-jiujitsu,08/06/2017,"€5,200",fr,80.0,5.0,20.0,53.0,0.0,3.0,101.0,https://www.kisskissbankbank.com/en/projects/envoyons-cyril-au-mondial,Aidons le Champion d'Europe de Jiu Jitsu Brésilien (ceinture bleue Masters) en titre à aller au Mondial à las Vegas! Envoyons Cyril au Mondial!,Successful,,"Out of €5,100",png,Envoyons Cyril au Mondial
92,92,135,https://www.kisskissbankbank.com/en/users/down-up,08/06/2017,"€25,300",fr,2000.0,25.0,21.0,135.0,0.0,9.0,101.0,https://www.kisskissbankbank.com/en/projects/trisomiques-et-alors-donnons-leur-l-espace-de-s-exprimer,Porter un regard positif et non réducteur sur les personnes trisomiques au travers d'un spot destiné à une large diffusion.,Successful,,"Out of €25,000",png,"“Trisomiques, et alors ! Donnons-leur l’espace de s’exprimer.”"
93,93,62,https://www.kisskissbankbank.com/en/users/tynkle,08/06/2017,"€8,050",en,400.0,5.0,21.0,62.0,3.0,13.0,100.0,https://www.kisskissbankbank.com/en/projects/tynkle-l-appli-de-depannage-informatique-entre-particuliers-ordi-smartphone-tablette-etc-desormais-dispo-sur-iphone,"AIDER LA CRÉATION DE LA NOUVELLE COMMUNAUTÉ D'ENTRAIDE ENTRE PARTICULIERS AUTOUR D'UN SERVICE DE DÉPANNAGE INFORMATIQUE ET PAS SEULEMENT...

",Successful,,"Out of €8,000",png,"Tynkle - L'appli  de dépannage Informatique entre particuliers (Ordi, smartphone & tablette, etc.) Désormais dispo sur iPhone"
